Product Name,Total_Sales,Total_Profit,Total_Orders,Avg_Discount,Profit_Margin,Sales_Score,Profit_Score,Total_Score,Segment
"""While you Were Out"" Message Book, One Form per Page",25.228,10.388,3,0.13333333333333333,41.17647058823529,1,2,3,Risky
"#10 Gummed Flap White Envelopes, 100/Box",41.3,16.7678,4,0.1,40.60000000000001,1,2,3,Risky
#10 Self-Seal White Envelopes,108.682,52.123,4,0.05,47.95918367346938,2,3,5,Profitable
"#10 White Business Envelopes,4 1/8 x 9 1/2",488.904,223.1408,7,0.05714285714285715,45.64102564102564,3,4,7,Star Product
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",286.672,115.2806,10,0.08,40.21341463414634,2,3,5,Profitable
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",146.688,64.86359999999999,8,0.07500000000000001,44.21874999999999,2,3,5,Profitable
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",176.288,63.747,2,0.1,36.160714285714285,2,3,5,Profitable
#6 3/4 Gummed Flap White Envelopes,71.28,24.948,4,0.2,35.0,1,2,3,Risky
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,578.6848,6,0.06666666666666667,21.384615384615387,4,4,8,Star Product
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",49.980000000000004,22.7115,2,0.1,45.44117647058823,1,2,3,Risky
12 Colored Short Pencils,18.2,3.016,3,0.13333333333333333,16.571428571428573,1,1,2,Loss Maker
12-1/2 Diameter Round Wall Clock,551.448,91.1088,8,0.27499999999999997,16.521739130434785,3,3,6,Profitable
14-7/8 x 11 Blue Bar Computer Printout Paper,422.752,172.94400000000002,4,0.1,40.909090909090914,3,4,7,Star Product
2300 Heavy-Duty Transfer File Systems by Perma,344.724,20.9832,4,0.1,6.086956521739131,3,2,5,Profitable
"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,536.9025,4,0.1,15.17857142857143,4,4,8,Star Product
24-Hour Round Wall Clock,487.512,180.0198,6,0.06666666666666667,36.92622950819672,3,4,7,Star Product
3-ring staple pack,42.111999999999995,16.6944,6,0.10000000000000002,39.64285714285715,1,2,3,Risky
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,-872.0751999999999,5,0.52,-29.599999999999998,4,1,5,Profitable
36X48 HARDFLOOR CHAIRMAT,369.24800000000005,-40.4914,6,0.2333333333333333,-10.965909090909088,3,1,4,Risky
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9714000000004,2,0.0,26.0,4,4,8,Star Product
"3D Systems Cube Printer, 2nd Generation, White",2339.982,-467.9964,2,0.35,-20.0,4,1,5,Profitable
3M Hangers With Command Adhesive,108.03999999999999,36.001,8,0.15,33.321917808219176,2,2,4,Risky
3M Office Air Cleaner,259.8,90.93,2,0.0,35.0,2,3,5,Profitable
3M Organizer Strips,83.16,10.151999999999997,7,0.3857142857142857,12.207792207792204,1,1,2,Loss Maker
3M Polarizing Light Filter Sleeves,216.34,75.34599999999999,4,0.2,34.82758620689654,2,3,5,Profitable
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,569.8368,4,0.0,26.000000000000007,4,4,8,Star Product
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,303.36,-20.476799999999997,4,0.25,-6.749999999999999,2,1,3,Risky
4009 Highlighters,8.04,2.7336,1,0.0,34.0,1,1,2,Loss Maker
4009 Highlighters by Sanford,171.14,53.8096,8,0.05,31.441860465116285,2,3,5,Profitable
50 Colored Long Pencils,138.176,32.9184,5,0.04,23.823529411764707,2,2,4,Risky
"6"" Cubicle Wall Clock, Black",124.586,26.211599999999997,4,0.2,21.038961038961038,2,2,4,Risky
9-3/4 Diameter Round Wall Clock,455.07,183.1312,8,0.05,40.24242424242425,3,4,7,Star Product
